Дата,Уровень воды
2020-01-01,88
2020-01-02,96
2020-01-03,108
2020-01-04,115
2020-01-05,104
2020-01-06,104
2020-01-07,121
2020-01-08,111
2020-01-09,107
2020-01-10,121
2020-01-11,118
2020-01-12,126
2020-01-13,125
2020-01-14,130
2020-01-15,129
2020-01-16,127
2020-01-17,134
2020-01-18,126
2020-01-19,111
2020-01-20,118
2020-01-21,117
2020-01-22,110
2020-01-23,103
2020-01-24,103
2020-01-25,94
2020-01-26,89
2020-01-27,98
2020-01-28,111
2020-01-29,119
2020-01-30,131
2020-01-31,125
2020-02-01,93
2020-02-02,118
2020-02-03,126
2020-02-04,125
2020-02-05,117
2020-02-06,122
2020-02-07,117
2020-02-08,123
2020-02-09,121
2020-02-10,130
2020-02-11,153
2020-02-12,162
2020-02-13,171
2020-02-14,178
2020-02-15,169
2020-02-16,164
2020-02-17,164
2020-02-18,165
2020-02-19,168
2020-02-20,173
2020-02-21,172
2020-02-22,174
2020-02-23,170
2020-02-24,182
2020-02-25,175
2020-02-26,167
2020-02-27,181
2020-02-28,167
2020-02-29,160
2020-03-01,136
2020-03-02,142
2020-03-03,153
2020-03-04,156
2020-03-05,172
2020-03-06,176
2020-03-07,162
2020-03-08,158
2020-03-09,151
2020-03-10,159
2020-03-11,188
2020-03-12,137
2020-03-13,155
2020-03-14,181
2020-03-15,204
2020-03-16,232
2020-03-17,227
2020-03-18,235
2020-03-19,236
2020-03-20,242
2020-03-21,287
2020-03-22,316
2020-03-23,330
2020-03-24,333
2020-03-25,330
2020-03-26,372
2020-03-27,382
2020-03-28,385
2020-03-29,393
2020-03-30,392
2020-03-31,397
2020-04-01,398
2020-04-02,404
2020-04-03,408
2020-04-04,408
2020-04-05,410
2020-04-06,425
2020-04-07,432
2020-04-08,444
2020-04-09,458
2020-04-10,511
2020-04-11,575
2020-04-12,633
2020-04-13,681
2020-04-14,705
2020-04-15,711
2020-04-16,711
2020-04-17,714
2020-04-18,712
2020-04-19,682
2020-04-20,640
2020-04-21,593
2020-04-22,538
2020-04-23,522
2020-04-24,507
2020-04-25,504
2020-04-26,500
2020-04-27,494
2020-04-28,492
2020-04-29,496
2020-04-30,493
2020-05-01,492
2020-05-02,487
2020-05-03,487
2020-05-04,492
2020-05-05,492
2020-05-06,488
2020-05-07,487
2020-05-08,488
2020-05-09,493
2020-05-10,491
2020-05-11,493
2020-05-12,498
2020-05-13,499
2020-05-14,498
2020-05-15,502
2020-05-16,526
2020-05-17,540
2020-05-18,546
2020-05-19,551
2020-05-20,560
2020-05-21,567
2020-05-22,570
2020-05-23,573
2020-05-24,576
2020-05-25,583
2020-05-26,585
2020-05-27,602
2020-05-28,617
2020-05-29,634
2020-05-30,653
2020-05-31,646
2020-06-01,638
2020-06-02,645
2020-06-03,646
2020-06-04,646
2020-06-05,647
2020-06-06,648
2020-06-07,645
2020-06-08,646
2020-06-09,638
2020-06-10,615
2020-06-11,594
2020-06-12,570
2020-06-13,558
2020-06-14,558
2020-06-15,518
2020-06-16,497
2020-06-17,470
2020-06-18,448
2020-06-19,415
2020-06-20,392
2020-06-21,372
2020-06-22,350
2020-06-23,333
2020-06-24,311
2020-06-25,270
2020-06-26,233
2020-06-27,220
2020-06-28,196
2020-06-29,168
2020-06-30,160
2020-07-01,142
2020-07-02,137
2020-07-03,131
2020-07-04,130
2020-07-05,116
2020-07-06,117
2020-07-07,117
2020-07-08,117
2020-07-09,130
2020-07-10,122
2020-07-11,116
2020-07-12,104
2020-07-13,102
2020-07-14,110
2020-07-15,109
2020-07-16,109
2020-07-17,103
2020-07-18,102
2020-07-19,91
2020-07-20,98
2020-07-21,70
2020-07-22,50
2020-07-23,45
2020-07-24,40
2020-07-25,33
2020-07-26,30
2020-07-27,32
2020-07-28,42
2020-07-29,37
2020-07-30,42
2020-07-31,56
2020-08-01,61
2020-08-02,45
2020-08-03,43
2020-08-04,38
2020-08-05,42
2020-08-06,46
2020-08-07,51
2020-08-08,48
2020-08-09,49
2020-08-10,53
2020-08-11,45
2020-08-12,54
2020-08-13,57
2020-08-14,56
2020-08-15,46
2020-08-16,37
2020-08-17,41
2020-08-18,39
2020-08-19,41
2020-08-20,36
2020-08-21,40
2020-08-22,47
2020-08-23,42
2020-08-24,40
2020-08-25,41
2020-08-26,40
2020-08-27,39
2020-08-28,41
2020-08-29,42
2020-08-30,43
2020-08-31,48
2020-09-01,49
2020-09-02,53
2020-09-03,46
2020-09-04,53
2020-09-05,48
2020-09-06,47
2020-09-07,45
2020-09-08,43
2020-09-09,46
2020-09-10,47
2020-09-11,48
2020-09-12,48
2020-09-13,43
2020-09-14,53
2020-09-15,57
2020-09-16,55
2020-09-17,57
2020-09-18,60
2020-09-19,53
2020-09-20,30
2020-09-21,41
2020-09-22,54
2020-09-23,49
2020-09-24,45
2020-09-25,42
2020-09-26,39
2020-09-27,40
2020-09-28,47
2020-09-29,53
2020-09-30,52
2020-10-01,59
2020-10-02,52
2020-10-03,51
2020-10-04,43
2020-10-05,40
2020-10-06,39
2020-10-07,51
2020-10-08,41
2020-10-09,52
2020-10-10,51
2020-10-11,35
2020-10-12,50
2020-10-13,57
2020-10-14,58
2020-10-15,69
2020-10-16,74
2020-10-17,63
2020-10-18,44
2020-10-19,52
2020-10-20,61
2020-10-21,77
2020-10-22,69
2020-10-23,68
2020-10-24,55
2020-10-25,37
2020-10-26,43
2020-10-27,69
2020-10-28,78
2020-10-29,61
2020-10-30,66
2020-10-31,63
2020-11-01,53
2020-11-02,51
2020-11-03,65
2020-11-04,58
2020-11-05,63
2020-11-06,65
2020-11-07,59
2020-11-08,59
2020-11-09,60
2020-11-10,53
2020-11-11,59
2020-11-12,69
2020-11-13,64
2020-11-14,67
2020-11-15,68
2020-11-16,62
2020-11-17,66
2020-11-18,68
2020-11-19,84
2020-11-20,87
2020-11-21,79
2020-11-22,81
2020-11-23,85
2020-11-24,84
2020-11-25,93
2020-11-26,94
2020-11-27,101
2020-11-28,97
2020-11-29,102
2020-11-30,121
2020-12-01,115
2020-12-02,114
2020-12-03,114
2020-12-04,117
2020-12-05,112
2020-12-06,117
2020-12-07,123
2020-12-08,116
2020-12-09,109
2020-12-10,108
2020-12-11,104
2020-12-12,97
2020-12-13,92
2020-12-14,97
2020-12-15,90
2020-12-16,93
2020-12-17,82
2020-12-18,57
2020-12-19,49
2020-12-20,38
2020-12-21,47
2020-12-22,65
2020-12-23,71
2020-12-24,66
2020-12-25,63
2020-12-26,60
2020-12-27,57
2020-12-28,45
2020-12-29,58
2020-12-30,49
2020-12-31,53
